username,post_link,likes_count,comments_count,shares_count
newprimagama_solobarubaki,https://www.instagram.com/newprimagama_solobarubaki/p/DEHgDGaPnRE/,7,0,0
yogashala.id,https://www.instagram.com/yogashala.id/reel/DD6T3-OvBsY/,22,0,0
imammaliki_29,https://www.instagram.com/imammaliki_29/p/DCsHwDRz0lh/,0,0,0
yogashala.id,https://www.instagram.com/yogashala.id/p/DDySOuhP5Pk/,132,0,0
jonyrahardja,https://www.instagram.com/jonyrahardja/reel/DDrYIDHv27g/,449,63,0
hunter.kuliner,https://www.instagram.com/hunter.kuliner/reel/DDV4q2mPfLx/,50,13,0
kuliner_asiksolo,https://www.instagram.com/kuliner_asiksolo/reel/DC_s8AWv3mR/,469,11,0
devadinda,https://www.instagram.com/devadinda/reel/DCyu-zUyVT5/,436,16,0
soloboska,https://www.instagram.com/soloboska/p/DCYKenwzMsS/,4,0,0
soloboska,https://www.instagram.com/soloboska/reel/DCRPnUOC9g1/,5,0,0
rekomendasijateng,https://www.instagram.com/rekomendasijateng/reel/C_xIkYqJFRH/,0,12,0
solodelicious,https://www.instagram.com/solodelicious/p/C-mojg6Sdza/,3568,20,0
dahliasp,https://www.instagram.com/dahliasp/reel/C-fAGuAx7Xy/,0,57,0
solodelicious,https://www.instagram.com/solodelicious/reel/C-XdXlTS6dg/,413,12,0
kuliner.neng.solo,https://www.instagram.com/kuliner.neng.solo/p/C-IAomZSEQN/,2202,14,0
kuliner.neng.solo,https://www.instagram.com/kuliner.neng.solo/p/C9hY2UQy8BA/,1251,6,0
jalanjalan__kuy,https://www.instagram.com/jalanjalan__kuy/reel/C9MTvgeRKSs/,2,0,0
kuliner.neng.solo,https://www.instagram.com/kuliner.neng.solo/reel/C9Jnn7zR-rH/,603,3,0
petasolo,https://www.instagram.com/petasolo/p/C9ECjojP9Cl/,627,0,0
infomakanenaksolo,https://www.instagram.com/infomakanenaksolo/reel/C8eohPQpjB1/,60,0,0
amelliasyabila,https://www.instagram.com/amelliasyabila/reel/C8Tt14OpGUb/,436,6,0
bukumenudisolo,https://www.instagram.com/bukumenudisolo/p/C8MVuFKvUUi/,1882,2,0
bukumenudisolo,https://www.instagram.com/bukumenudisolo/reel/C8DeY0xBvjn/,497,8,0
ery_erandi,https://www.instagram.com/ery_erandi/p/C76gvTwvg_2/,0,2,0
infomakansolo,https://www.instagram.com/infomakansolo/reel/C7gtWV4Pmse/,0,1,0
hijab_salsabilasolo,https://www.instagram.com/hijab_salsabilasolo/p/C63WBEtBd35/,3,0,0
pusparisti,https://www.instagram.com/pusparisti/reel/C6ptArYRtRD/,210,18,0
widyoagung,https://www.instagram.com/widyoagung/reel/C6hw-TdPeqA/,75,1,0
heny_mitsubishi_solo,https://www.instagram.com/heny_mitsubishi_solo/reel/C5D8Z0xrV0S/,38,1,0
claraanandias,https://www.instagram.com/claraanandias/reel/C45XFtPpFYF/,75,7,0
mardani112,https://www.instagram.com/mardani112/p/C4N3h4Hpo0X/,22,2,0
zardelwo,https://www.instagram.com/zardelwo/p/C4GPMaWPRGV/,6,0,0
ayuyulia407,https://www.instagram.com/ayuyulia407/reel/C4AUxxhLyhh/,158,113,0
tasyadinikafajar2,https://www.instagram.com/tasyadinikafajar2/reel/C3twgznPdMq/,553,48,0
adms.mrf,https://www.instagram.com/adms.mrf/reel/C3rtlnMJjAS/,117,2,0
devasarii,https://www.instagram.com/devasarii/reel/C3Pjjwfpxah/,111,23,0
dahliasp,https://www.instagram.com/dahliasp/reel/C2xRwLQPNPH/,0,3,0
dahliasp,https://www.instagram.com/dahliasp/reel/C2d-r6XpKrU/,66,0,0
dwiyan_tamautau,https://www.instagram.com/dwiyan_tamautau/p/C2Cd6vDLVSc/,0,0,0
masjajankuliner,https://www.instagram.com/masjajankuliner/reel/C1_4lfqPxJk/,0,3,0
ailsaluthfiana,https://www.instagram.com/ailsaluthfiana/reel/C1twSt2Pb0Q/,198,6,0
solodelicious,https://www.instagram.com/solodelicious/p/C1W9P8USUrr/,3323,38,0
solodelicious,https://www.instagram.com/solodelicious/reel/C1J7gC6yjfA/,587,8,0
adi_sukajajan,https://www.instagram.com/adi_sukajajan/reel/C03TXQvPVHK/,12,2,0
solodelicious,https://www.instagram.com/solodelicious/reel/C0tbUcBSl6I/,364,8,0
jelajahsolo,https://www.instagram.com/jelajahsolo/reel/C0ge8wRJgGQ/,1131,18,0
kulinernyus,https://www.instagram.com/kulinernyus/p/C0QQI3MvEpb/,7,0,0
tabligh.pdmsukoharjo,https://www.instagram.com/tabligh.pdmsukoharjo/p/C0NOglES9WD/,25,1,0
solodelicious,https://www.instagram.com/solodelicious/p/Cz5VpdcSQ0C/,6589,66,0
hobikulinersolo,https://www.instagram.com/hobikulinersolo/reel/CzgTgS8vAC0/,88,1,0
mhr.rania,https://www.instagram.com/mhr.rania/p/CzaYSIGxQWf/,88,7,0
jajanankakilimasolo,https://www.instagram.com/jajanankakilimasolo/reel/CzNlwv1PsnJ/,59,2,0
hobikulinersolo,https://www.instagram.com/hobikulinersolo/reel/CzNle-SP99A/,17,0,0
solodelicious,https://www.instagram.com/solodelicious/p/CzI08PFSmuw/,3017,37,0
solodelicious,https://www.instagram.com/solodelicious/reel/Cy0qf5vydFc/,3143,85,0
kokogemoykuliner,https://www.instagram.com/kokogemoykuliner/reel/Cx23St7Pudq/,172,2,0
_cuphank,https://www.instagram.com/_cuphank/reel/CxmExsMvF8o/,7,2,0
rusdys,https://www.instagram.com/rusdys/reel/CwSfexspIt4/,23,0,0
sarijudo,https://www.instagram.com/sarijudo/reel/CvyKSoVhZ7Y/,86,0,0
elnanda1402,https://www.instagram.com/elnanda1402/p/Cut8u7lvMv8/,24,0,0
taentaenss,https://www.instagram.com/taentaenss/p/CuZy2LjJm4j/,20,0,0
dayatsimbaiaaa,https://www.instagram.com/dayatsimbaiaaa/p/CuYpNqqSmJj/,268,11,0
pepy_syarif,https://www.instagram.com/pepy_syarif/p/CuRu7anRnBW/,28,0,0
kokoatmadja,https://www.instagram.com/kokoatmadja/reel/CuJhxYuN8mj/,0,6,0
kulinersolojogja.id,https://www.instagram.com/kulinersolojogja.id/reel/Ct-iygQB3eO/,21496,390,0
bukumenusolo.id,https://www.instagram.com/bukumenusolo.id/p/Ct08rLjPVbY/,252,7,0
solodelicious,https://www.instagram.com/solodelicious/p/Ctbg1IgSORC/,1065,26,0
solokenyang,https://www.instagram.com/solokenyang/reel/CtLwPOmpSSu/,436,8,0
solodelicious,https://www.instagram.com/solodelicious/reel/CsppbHTvEZ_/,626,16,0
solodelicious,https://www.instagram.com/solodelicious/p/CryFSM2yjLY/,881,11,0
solodelicious,https://www.instagram.com/solodelicious/reel/CrdVRlBNN9q/,1115,14,0
widyoagung,https://www.instagram.com/widyoagung/reel/CqMpgqBOD_V/,13,0,0
aris.mahardi,https://www.instagram.com/aris.mahardi/reel/CpIVZY7gjQE/,20,1,0
pusparisti,https://www.instagram.com/pusparisti/reel/CpBmYLpjcqp/,10,0,0
kopi_ngrayun,https://www.instagram.com/kopi_ngrayun/p/Co9MFWHrBWX/,6,0,0
saadah_umiyanti,https://www.instagram.com/saadah_umiyanti/reel/Cn6nFZQg1lH/,6,0,0
smaitnh,https://www.instagram.com/smaitnh/p/Cnt032Jv0BO/,305,0,0
hobikulinersolo,https://www.instagram.com/hobikulinersolo/reel/Cm8VrDHJXng/,61,1,0
pusparisti,https://www.instagram.com/pusparisti/reel/Cm20ig2Dziw/,18,0,0
hobikulinersolo,https://www.instagram.com/hobikulinersolo/p/CmsmWUYv1GN/,88,0,0
jajanankakilimasolo,https://www.instagram.com/jajanankakilimasolo/p/CmsmJlivbF7/,15,0,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/CmXt9AcNDC5/,5,1,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/CmJbfWuLeth/,4,0,0
rona_marisca,https://www.instagram.com/rona_marisca/p/Cl15GBPh2Qw/,14,0,0
sebelasrasa,https://www.instagram.com/sebelasrasa/p/ClGfMOpLyXM/,35,2,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/Cke_s3hve1x/,19,0,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/CkXNB3tP8_b/,19,0,0
